# script	title	description	modifiers	key	dependencies	args
omarchy-codex-notify.ts	Codex notifications	Show completion notifications and focus the originating terminal on click.	NONE	NONE	node>=24,omarchy,hyprctl	-
omarchy-capture-active-window.sh	Active window screenshot	Capture the active Hyprland window, save it to Pictures, copy it to the clipboard, and notify with the saved path.	SUPER SHIFT	PRINT	hyprctl,jq,grim,wl-copy,notify-send
omarchy-layout-main-two-stack.sh	Main + side stack layout	Toggle the current workspace between dwindle and a master layout with the focused window on the left and the other windows stacked on the right.	SUPER ALT	L	hyprctl,jq,notify-send
omarchy-open-terminal-hint.ts	Alacritty terminal hint	Open image hints in imv, files in Neovim, and delegate directories and links to the desktop.	NONE	NONE	node>=24,alacritty,nvim,imv,xdg-open,notify-send	-
omarchy-git-auto-push.sh	Scheduled Git push	Push existing commits from an explicit local repository allowlist with work-branch safeguards.	NONE	NONE	git,flock	-
